"","Country","Region","construction_period_start","construction_period_end","steel","copper","aluminum","unspecified_metal","metal_based","wood","paper_cardboard","straw","biomass_based","concrete","cement","aggregates","brick","mortar_plaster","mineral_fill","plaster_board_gypsum","Adobe","Asphalt","Bitumen","tural_stone","cement_asbestos","Clay","siding_unspecified","construction_mineral","Ceramics","Glass","Plastics","Polystyrene","PVC","Lineoleum","Carpet","Heraklith","Mineral_wool","insulation_unspecified","other_unspecified_material","other_minerals","Agregate","TotalMSI","building_description","no_floors","Occupation","building_type","measurement_type","urban_rural","floor_area_type","Authors","publication_year","publication_title","publication_outlet","copyright","DOI","URL","comment_scope","comment_conversion","comment_aggregation","comment_primary","comment_secondary","data_entry","global_region","climate_classification","equator_distance","heating_degree_days_0","heating_degree_days_1","cooling_degree_days_0","cooling_degree_days_1","country_land_area","population_0","Notes..population_0","population_1","urbanization_0","urbanization_1","gdp_0","gdp_1","hdi_0","hdi_1","cluster_id"
"1","Austria","Vien0",0,1918,3.414459688,0.162858195,0.478090527,0.181713649,4.237122059,68.17186999,NA,NA,68.17186999,52.9349493,NA,NA,1025.470266,330.7415827,0.002681017,0.817599692,NA,NA,0.339165086,NA,NA,NA,NA,1410.306243795,0.430556701,0.909139253,1.422682481,NA,0.682172383,NA,NA,NA,0.002681017,NA,NA,3.447231835,1409.146798,1486.162467679,"Case study OBG","3.4","residential","0","NULL","urban","gross","Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,"GIS-based A0lysis of Vien0's Material Stock in Buildings","Jour0l of Industrial Ecology","Copyright Wiley and author permission","10.1111/jiec.12446","<U+FEFF>http://doi.wiley.com/10.1111/jiec.12446","NULL","Perso0l communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author.","Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""lami0te"" as ""other"".","NULL","Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Pre-1918, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.","Heeren and Fishman","Europe","Cfb",5362,0,4039.855,0,90.9649975,82445,0,"Pre-1918",6727,0,0.636,0,2767,"NULL","NULL",2
"2","Austria","Vien0",0,1918,8.300614114,0.242197948,0.073321113,0.030977444,8.647110619,89.49142762,NA,NA,89.49142762,390.1431201,NA,NA,921.4151605,288.0342857,0.067300623,0.597116391,NA,NA,0.089162528,0.065976596,NA,NA,NA,1600.412122438,1.802659004,0.818104356,1.322689139,NA,NA,0.155943426,NA,NA,0.067300623,NA,NA,4.166696548,1599.5925663,1702.717357225,"Construction files (nr. 3)","3.9","residential","0","NULL","urban","gross","Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,"GIS-based A0lysis of Vien0's Material Stock in Buildings","Jour0l of Industrial Ecology","Copyright Wiley and author permission","10.1111/jiec.12446","<U+FEFF>http://doi.wiley.com/10.1111/jiec.12446","NULL","Perso0l communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author.","Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""lami0te"" as ""other"".","NULL","Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Pre-1918, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.","Heeren and Fishman","Europe","Cfb",5362,0,4039.855,0,90.9649975,82445,0,"Pre-1918",6727,0,0.636,0,2767,"NULL","NULL",2
"3","Austria","Vien0",0,1918,15.27333567,0.200116287,0.06058164,0.025595142,15.559628739,68.39522234,NA,NA,68.39522234,58.83064736,NA,NA,650.7624669,202.4505259,0.101847279,0.49336799,NA,NA,NA,0.054513226,NA,NA,NA,912.693368655,1.489448729,0.515917707,1.092873168,NA,NA,0.128848405,NA,NA,0.101847279,NA,NA,3.328935288,912.04364016,999.977155022,"Construction files (nr. 11)","3.2","residential","0","NULL","urban","gross","Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,"GIS-based A0lysis of Vien0's Material Stock in Buildings","Jour0l of Industrial Ecology","Copyright Wiley and author permission","10.1111/jiec.12446","<U+FEFF>http://doi.wiley.com/10.1111/jiec.12446","NULL","Perso0l communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author.","Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""lami0te"" as ""other"".","NULL","Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Pre-1918, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.","Heeren and Fishman","Europe","Cfb",5362,0,4039.855,0,90.9649975,82445,0,"Pre-1918",6727,0,0.636,0,2767,"NULL","NULL",2
"4","Austria","Vien0",0,1918,11.11131134,0.256901655,0.077772398,0.032858067,11.47884346,48.2128811,NA,NA,48.2128811,189.6202719,NA,NA,688.9902811,222.6578641,0.071386407,0.633367005,NA,NA,0.094575537,0.069982,NA,NA,NA,1102.137728049,1.912097459,1.523700056,1.402988883,NA,NA,0.165410667,NA,NA,0.071386407,NA,NA,5.075583472,1101.2684171,1166.905036081,"Construction files (nr. 29)","4.0999999999999996","residential","0","NULL","urban","gross","Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,"GIS-based A0lysis of Vien0's Material Stock in Buildings","Jour0l of Industrial Ecology","Copyright Wiley and author permission","10.1111/jiec.12446","<U+FEFF>http://doi.wiley.com/10.1111/jiec.12446","NULL","Perso0l communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author.","Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""lami0te"" as ""other"".","NULL","Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Pre-1918, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.","Heeren and Fishman","Europe","Cfb",5362,0,4039.855,0,90.9649975,82445,0,"Pre-1918",6727,0,0.636,0,2767,"NULL","NULL",2
"5","Austria","Vien0",0,1918,11.29212356,0.266116622,0.329761267,0.034036674,11.922038123,32.39745851,NA,NA,32.39745851,135.9789714,1.722074184,NA,930.4064304,311.2237686,0.555818791,0.656085646,NA,NA,0.097967927,0.072492229,NA,NA,NA,1380.713609177,1.980683689,1.04422688,1.453313576,NA,NA,0.171343887,NA,NA,0.555818791,NA,NA,5.205386823,1379.331244584,1430.238492633,"Construction files (nr. 30)","4.3","residential","0","NULL","urban","gross","Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,"GIS-based A0lysis of Vien0's Material Stock in Buildings","Jour0l of Industrial Ecology","Copyright Wiley and author permission","10.1111/jiec.12446","<U+FEFF>http://doi.wiley.com/10.1111/jiec.12446","NULL","Perso0l communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author.","Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""lami0te"" as ""other"".","NULL","Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Pre-1918, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.","Heeren and Fishman","Europe","Cfb",5362,0,4039.855,0,90.9649975,82445,0,"Pre-1918",6727,0,0.636,0,2767,"NULL","NULL",2
"6","Austria","Vien0",0,1918,19.90934867,0.217124935,0.065730705,0.027770571,20.219974881,46.84368488,NA,NA,46.84368488,71.50945723,0.132079856,NA,925.8354385,304.7111186,0.060333473,0.535301222,NA,NA,0.079932172,0.059146513,NA,NA,NA,1302.922807566,1.61604267,1.026460358,1.185760637,NA,NA,0.139799723,NA,NA,0.060333473,NA,NA,4.028396861,1302.188094186,1374.014864188,"Construction files (nr. 42)","3.5","residential","0","NULL","urban","gross","Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,"GIS-based A0lysis of Vien0's Material Stock in Buildings","Jour0l of Industrial Ecology","Copyright Wiley and author permission","10.1111/jiec.12446","<U+FEFF>http://doi.wiley.com/10.1111/jiec.12446","NULL","Perso0l communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author.","Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""lami0te"" as ""other"".","NULL","Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Pre-1918, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.","Heeren and Fishman","Europe","Cfb",5362,0,4039.855,0,90.9649975,82445,0,"Pre-1918",6727,0,0.636,0,2767,"NULL","NULL",2
"7","Austria","Vien0",0,1918,8.15795289,0.217840728,0.065947398,0.027862122,8.469603138,22.84301444,NA,NA,22.84301444,117.6647214,11.62515237,NA,761.684191,266.0047405,0.060532374,0.537065943,NA,NA,0.080195684,0.059341501,NA,NA,NA,1157.715940772,1.62137026,0.809030527,1.18966972,NA,NA,0.1402606,NA,NA,0.060532374,NA,NA,3.820863481,1156.97880527,1192.849421831,"Construction files (nr. 45)","3.5","residential","0","NULL","urban","gross","Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,"GIS-based A0lysis of Vien0's Material Stock in Buildings","Jour0l of Industrial Ecology","Copyright Wiley and author permission","10.1111/jiec.12446","<U+FEFF>http://doi.wiley.com/10.1111/jiec.12446","NULL","Perso0l communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author.","Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""lami0te"" as ""other"".","NULL","Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Pre-1918, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.","Heeren and Fishman","Europe","Cfb",5362,0,4039.855,0,90.9649975,82445,0,"Pre-1918",6727,0,0.636,0,2767,"NULL","NULL",2
"8","Austria","Vien0",0,1918,7.1111783,0.221406441,0.067026854,0.028318182,7.427929777,75.28328483,NA,NA,75.28328483,72.91955855,NA,NA,986.8523314,327.2807576,0.061523194,0.545856874,NA,NA,0.081508362,0.060312829,NA,NA,NA,1387.801848809,1.647909559,1.597957814,1.209142756,NA,NA,0.142556447,NA,NA,0.061523194,NA,NA,4.65908977,1387.05264755,1475.172153186,"Construction files (nr. 50)","3.5","residential","0","NULL","urban","gross","Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,"GIS-based A0lysis of Vien0's Material Stock in Buildings","Jour0l of Industrial Ecology","Copyright Wiley and author permission","10.1111/jiec.12446","<U+FEFF>http://doi.wiley.com/10.1111/jiec.12446","NULL","Perso0l communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author.","Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""lami0te"" as ""other"".","NULL","Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Pre-1918, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.","Heeren and Fishman","Europe","Cfb",5362,0,4039.855,0,90.9649975,82445,0,"Pre-1918",6727,0,0.636,0,2767,"NULL","NULL",2
"9","Austria","Vien0",0,1918,10.42403821,0.268913707,0.211096616,0.034394425,10.938442958,68.69549022,NA,NA,68.69549022,88.56593654,NA,NA,1072.842579,368.4917073,0.07472425,0.662981596,NA,NA,0.098997643,0.073254176,NA,NA,NA,1530.810180505,2.001502153,1.628459256,1.569868714,NA,NA,0.173144839,NA,NA,0.07472425,NA,NA,5.447699212,1529.90022284,1615.891812895,"Construction files (nr. 51)","4.3","residential","0","NULL","urban","gross","Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,"GIS-based A0lysis of Vien0's Material Stock in Buildings","Jour0l of Industrial Ecology","Copyright Wiley and author permission","10.1111/jiec.12446","<U+FEFF>http://doi.wiley.com/10.1111/jiec.12446","NULL","Perso0l communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author.","Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""lami0te"" as ""other"".","NULL","Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Pre-1918, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.","Heeren and Fishman","Europe","Cfb",5362,0,4039.855,0,90.9649975,82445,0,"Pre-1918",6727,0,0.636,0,2767,"NULL","NULL",2
"10","Austria","Vien0",0,1918,8.504804861,0.211002006,0.063877097,0.026987441,8.806671405,34.09961819,NA,NA,34.09961819,141.1013009,NA,NA,1053.174016,347.3433465,0.058632067,0.520205713,NA,NA,0.077678083,0.05747858,NA,NA,NA,1542.332657843,1.570470224,2.21393244,1.152322155,NA,NA,0.135857368,NA,NA,0.058632067,NA,NA,5.131214254,1541.6186634,1590.370161692,"Construction files (nr. 59)","3.4","residential","0","NULL","urban","gross","Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,"GIS-based A0lysis of Vien0's Material Stock in Buildings","Jour0l of Industrial Ecology","Copyright Wiley and author permission","10.1111/jiec.12446","<U+FEFF>http://doi.wiley.com/10.1111/jiec.12446","NULL","Perso0l communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author.","Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""lami0te"" as ""other"".","NULL","Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Pre-1918, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.","Heeren and Fishman","Europe","Cfb",5362,0,4039.855,0,90.9649975,82445,0,"Pre-1918",6727,0,0.636,0,2767,"NULL","NULL",2
"11","Austria","Vien0",0,1918,12.53616725,0.193603643,0.058610053,0.024762167,12.813143113,57.1326183,NA,NA,57.1326183,222.0579996,0.498509761,NA,1017.513652,315.9804146,0.053797507,0.477311678,NA,NA,0.080280489,0.052739132,NA,NA,NA,1556.714704767,1.440975672,0.972279498,1.057306383,NA,NA,0.124655125,NA,0.847535056,0.053797507,NA,NA,4.496549241,1556.050575961,1631.157015421,"Construction files (nr. 60)","3.1","residential","0","NULL","urban","gross","Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,"GIS-based A0lysis of Vien0's Material Stock in Buildings","Jour0l of Industrial Ecology","Copyright Wiley and author permission","10.1111/jiec.12446","<U+FEFF>http://doi.wiley.com/10.1111/jiec.12446","NULL","Perso0l communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author.","Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""lami0te"" as ""other"".","NULL","Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Pre-1918, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.","Heeren and Fishman","Europe","Cfb",5362,0,4039.855,0,90.9649975,82445,0,"Pre-1918",6727,0,0.636,0,2767,"NULL","NULL",2
"12","Austria","Vien0",0,1918,7.422251091,0.22547781,0.068259389,0.028838915,7.744827205,88.78425908,NA,NA,88.78425908,74.26045212,NA,NA,1070.365998,336.8095694,0.062654524,0.555894455,NA,NA,0.083007192,0.061421901,NA,NA,NA,1482.198997592,1.678212421,0.911349094,1.231377281,NA,NA,0.14517787,NA,NA,0.062654524,NA,NA,4.02877119,1481.43601952,1582.756855067,"Construction files (nr. 65)","3.6","residential","0","NULL","urban","gross","Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,"GIS-based A0lysis of Vien0's Material Stock in Buildings","Jour0l of Industrial Ecology","Copyright Wiley and author permission","10.1111/jiec.12446","<U+FEFF>http://doi.wiley.com/10.1111/jiec.12446","NULL","Perso0l communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author.","Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""lami0te"" as ""other"".","NULL","Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Pre-1918, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.","Heeren and Fishman","Europe","Cfb",5362,0,4039.855,0,90.9649975,82445,0,"Pre-1918",6727,0,0.636,0,2767,"NULL","NULL",2
"13","Austria","Vien0",1919,1946,2.915356216,0.007686731,NA,NA,2.923042947,44.99523518,NA,NA,44.99523518,31.2915931,11.6260014,NA,923.0629363,303.6888985,NA,NA,NA,NA,NA,NA,3.390382748,NA,NA,1273.059812048,NA,1.221648784,NA,NA,0.354786582,NA,NA,NA,0,NA,NA,1.576435366,1269.6694293,1322.554525541,"Case study BFS","3.4","residential","0","NULL","urban","gross","Kleemann, Fritz; Lederer, Jakob; Rechberger, Helmut; Fellner, Johann",2016,"GIS-based A0lysis of Vien0's Material Stock in Buildings","Jour0l of Industrial Ecology","Copyright Wiley and author permission","10.1111/jiec.12446","<U+FEFF>http://doi.wiley.com/10.1111/jiec.12446","NULL","Perso0l communication by the author. Data based and converted from Kleemann et al. 2016. No. of floors calculated by author.","Summed ""slag fill"" and ""mineral fill"", ""bricks"" and ""foamed clay bricks"", ""mineral wool"" and ""mineral wool board"". Considered ""cement asbestos"" as ""cement"", ""lami0te"" as ""other"".","NULL","Heating Degree Days: No data before 1948, HDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: No data before 1948, CDD in 1948, Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values. Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: No data before 1950, Urban pop. in 1950, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.","Heeren and Fishman","Europe","Cfb",5362,0,4039.855,0,90.9649975,82445,6420,"0",7000,0,0.636,2447,2352,"NULL","NULL",2
